loss_b:0.5176, loss_b_eval:0.6287, train loss:1.9011, train acc:0.3489, train acc ori:0.4098,          eval acc:48.6600, time elapsed:15.5202, epoch 0 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.5748, loss_b_eval:0.6505, train loss:1.6125, train acc:0.4875, train acc ori:0.5852,          eval acc:62.3400, time elapsed:30.3289, epoch 1 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.5781, loss_b_eval:0.6385, train loss:1.4554, train acc:0.5639, train acc ori:0.6800,          eval acc:69.1700, time elapsed:45.1165, epoch 2 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.5983, loss_b_eval:0.6503, train loss:1.3665, train acc:0.6045, train acc ori:0.7288,          eval acc:73.2300, time elapsed:60.1380, epoch 3 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.6102, loss_b_eval:0.6279, train loss:1.3084, train acc:0.6299, train acc ori:0.7599,          eval acc:76.4500, time elapsed:75.0211, epoch 4 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.6142, loss_b_eval:0.6652, train loss:1.2647, train acc:0.6503, train acc ori:0.7838,          eval acc:75.9100, time elapsed:90.2241, epoch 5 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.6182, loss_b_eval:0.6735, train loss:1.2257, train acc:0.6656, train acc ori:0.8018,          eval acc:75.6000, time elapsed:105.2277, epoch 6 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.6179, loss_b_eval:0.6480, train loss:1.1961, train acc:0.6792, train acc ori:0.8190,          eval acc:79.0900, time elapsed:120.1593, epoch 7 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.6188, loss_b_eval:0.6438, train loss:1.1728, train acc:0.6887, train acc ori:0.8283,          eval acc:82.8000, time elapsed:135.4677, epoch 8 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.6197, loss_b_eval:0.6409, train loss:1.1490, train acc:0.6968, train acc ori:0.8380,          eval acc:81.4000, time elapsed:150.4655, epoch 9 train cleaned, 0 samples changed,          total remain noise:8972, max class noise:917
loss_b:0.6109, loss_b_eval:0.6514, train loss:1.1591, train acc:0.6855, train acc ori:0.7999,          eval acc:75.8700, time elapsed:168.1465, epoch 10 train cleaned, 996 samples changed,          total remain noise:8105, max class noise:910
loss_b:0.6293, loss_b_eval:0.6773, train loss:1.0726, train acc:0.7116, train acc ori:0.8203,          eval acc:77.9400, time elapsed:185.3326, epoch 11 train cleaned, 1995 samples changed,          total remain noise:7211, max class noise:852
loss_b:0.6364, loss_b_eval:0.6634, train loss:0.9949, train acc:0.7363, train acc ori:0.8344,          eval acc:79.2900, time elapsed:202.6298, epoch 12 train cleaned, 2992 samples changed,          total remain noise:6766, max class noise:906
loss_b:0.6467, loss_b_eval:0.6749, train loss:0.9169, train acc:0.7588, train acc ori:0.8447,          eval acc:82.1400, time elapsed:220.4359, epoch 13 train cleaned, 3987 samples changed,          total remain noise:6056, max class noise:916
loss_b:0.6536, loss_b_eval:0.6840, train loss:0.8386, train acc:0.7772, train acc ori:0.8508,          eval acc:85.3600, time elapsed:237.7240, epoch 14 train cleaned, 4866 samples changed,          total remain noise:6930, max class noise:1017
loss_b:0.6521, loss_b_eval:0.6853, train loss:0.8305, train acc:0.7815, train acc ori:0.8567,          eval acc:82.5300, time elapsed:254.9145, epoch 15 train cleaned, 5541 samples changed,          total remain noise:6339, max class noise:988
loss_b:0.6661, loss_b_eval:0.6989, train loss:0.7650, train acc:0.7960, train acc ori:0.8604,          eval acc:84.5400, time elapsed:272.5070, epoch 16 train cleaned, 5903 samples changed,          total remain noise:7425, max class noise:1069
loss_b:0.6545, loss_b_eval:0.6867, train loss:0.8138, train acc:0.7847, train acc ori:0.8611,          eval acc:82.5700, time elapsed:290.2264, epoch 17 train cleaned, 6465 samples changed,          total remain noise:6928, max class noise:1079
loss_b:0.6669, loss_b_eval:0.6891, train loss:0.7519, train acc:0.7988, train acc ori:0.8655,          eval acc:85.1900, time elapsed:307.5354, epoch 18 train cleaned, 6282 samples changed,          total remain noise:7528, max class noise:1173
loss_b:0.6672, loss_b_eval:0.7027, train loss:0.7872, train acc:0.7911, train acc ori:0.8639,          eval acc:85.7800, time elapsed:325.0250, epoch 19 train cleaned, 7019 samples changed,          total remain noise:7220, max class noise:1193
loss_b:0.6636, loss_b_eval:0.7003, train loss:0.7399, train acc:0.8020, train acc ori:0.8698,          eval acc:85.0100, time elapsed:342.3312, epoch 20 train cleaned, 6332 samples changed,          total remain noise:7498, max class noise:1274
loss_b:0.6671, loss_b_eval:0.7117, train loss:0.7728, train acc:0.7977, train acc ori:0.8719,          eval acc:85.1000, time elapsed:360.4257, epoch 21 train cleaned, 6806 samples changed,          total remain noise:7047, max class noise:1188
loss_b:0.6747, loss_b_eval:0.7001, train loss:0.7381, train acc:0.8028, train acc ori:0.8716,          eval acc:85.3500, time elapsed:378.1515, epoch 22 train cleaned, 6265 samples changed,          total remain noise:7473, max class noise:1310
loss_b:0.6772, loss_b_eval:0.7143, train loss:0.7709, train acc:0.7984, train acc ori:0.8729,          eval acc:84.5500, time elapsed:396.2793, epoch 23 train cleaned, 6656 samples changed,          total remain noise:6949, max class noise:1187
loss_b:0.6818, loss_b_eval:0.7088, train loss:0.7258, train acc:0.8064, train acc ori:0.8767,          eval acc:85.4700, time elapsed:414.0925, epoch 24 train cleaned, 6162 samples changed,          total remain noise:7320, max class noise:1303
loss_b:0.6886, loss_b_eval:0.7229, train loss:0.7629, train acc:0.7989, train acc ori:0.8736,          eval acc:84.1500, time elapsed:431.8091, epoch 25 train cleaned, 6566 samples changed,          total remain noise:6935, max class noise:1184
